"","state","GeoFIPS","GeoName","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"1","AL","01000","Alabama",1031.2942121251,8781.74237958,8880.4487164566,8307.2323714054,7515.1636855218,7272.0895595604,6435.3037801144,5698.13648381,4075.7464653256,3126.7562620228,2780.0442240776,2732.2344549478,22804.753386194,24016.9040003436,22546.032814645,22834.7945825076,22333.6688741824,19600.9395938728,18387.9663670332,12498.2777325582,9301.0614282977,7977.393369642,7559.3598901568,59970.112741526,59984.9922639728,55686.3810675056,51128.2308870564,47440.496798772,41240.5027263812,37116.679011976,25297.8088921997,18345.5643198574,15284.6601736798,14065.0946707722,111967.215339645,108032.623511495,97030.195104823,88973.916428012,81367.6399639544,69349.5365139532,61383.6605840688,43973.1280968691,31917.103677525,26235.2716000456,23864.9879350311,184444.366771894,166189.985068978,147390.735006422,135056.903137849,123141.246529286,103215.95989614,88596.7728431816,59773.2271548676,41578.9760003463,33650.5307118468
"2","AK","02000","Alaska",154.0481666835,1335.37326483,1351.8294103878,1294.1278711128,1255.1058102961,1290.860698365,1178.520606027,1123.8459169273,845.0505720517,620.2675846523,511.5854296302,568.8260559255,6752.86317662,7349.465571759,6534.7393973728,6974.507637251,7403.245848285,8687.965220118,10397.1230568128,7808.4802957483,5108.4451348451,4001.6713629114,3718.492311579,20824.223246101,22555.0867781225,18424.430936124,17916.0052153831,17021.1437004,12668.101622817,10839.7058702191,7749.5697202252,5337.7383651905,4281.2685296478,3803.1263459065,29943.845542501,23642.256718791,21381.6950271408,20513.3026925631,19409.134028655,16920.554171337,15263.6283732233,11713.8853420085,9059.3438731043,7516.3187801538,6997.8833391765,60212.306211981,49648.7391094611,46891.7792334808,44886.6477828293,41390.47284015,34001.428077792,27723.1206434224,17456.1687290144,11428.9333807862,8880.6587453958
"3","AZ","04000","Arizona",647.6348911122,5235.87292874,5028,4950.0106240899,4566.8767815508,4607.3743456755,4531.7314858587,4227.0833186703,3646.5854262168,2786.8950800244,2373.419840664,2111.2435060331,16613.05415048,16970,17561.9247924333,18383.5940857204,19214.2814552325,18433.7151171436,16904.8801782603,13527.3996005808,9816.3270379818,8214.382921908,7327.2908731389,60740.25641082,60047,58165.0877476965,53617.170860002,49359.633669612,43955.9379002542,40786.9883246934,33748.58312376,24772.5652464018,19568.8732939248,17271.708731513,140520.74244438,143768,139844.293269137,131021.902227331,120399.713524608,107618.885828065,95051.4119801595,77147.8249109952,56112.5479635306,44238.3736077672,37864.6776085445,279041.48360396,242509,220021.568662732,200737.254514259,184974.933669026,162064.376999698,138651.19398942,110851.813042498,75116.1021848199,56949.61260588
"4","AR","05000","Arkansas",564.3037743101,4565.579529172,4586.353177536,4500.4516432944,4167.3158133672,4102.9572747808,3892.34147554,3351.2512101828,3102.33862512,2216.7722589508,1835.7739961128,1617.2937240515,13144.202202838,14136.613572864,14035.7142252456,14191.7728897542,13738.1453350348,12663.85041047,11506.4483954244,9810.311939946,6600.7303947944,5285.788670782,4365.2789462986,33899.538071111,33695.150740224,32361.0947662032,30148.8896178288,27822.999191536,25964.76569659,22628.8626038712,19834.118150868,13418.5969468112,10141.1379198576,8629.9328988136,66406.728479637,64240.9231064,61677.820744122,55874.6753316414,50962.5560941348,46279.0157755275,39596.7395876616,35552.216870478,23571.5391636658,17611.0631213172,14495.9532464824,109888.700345582,101114.33613632,95177.8958769108,87119.7996236802,78567.6036632552,71486.17392882,59290.5555714252,49654.514222838,31650.465705705,23196.5624161864
"5","CA","06000","California",10373.4839298363,82637.108117949,82393.761016385,80469.2690414226,73887.5360890848,72671.2504401681,68614.7602323642,58353.4725095705,53270.373832662,37006.9790717022,28234.5992196345,24754.6093012205,200535.473529762,207789.625385615,218312.12754509,216787.421674646,216046.818437165,211037.893408788,192179.555202122,174270.045947698,118446.069883902,92465.335203417,80147.6274793142,632969.245075986,647920.749176155,638580.469075985,596388.752544355,569365.235010306,508387.182310051,420700.476477937,365742.370674924,239414.250040944,174813.804516962,147502.07164791,1165810.14371814,1212030.51368535,1186691.37012194,1124340.93905106,1013031.5335085,921006.874616617,793855.782690297,728028.442379714,491050.756533372,360436.95910024,299310.709475956,2230162.1122796,2013294.65127017,1869301.87101949,1679750.90236343,1568834.35405674,1431053.61920934,1229192.95773788,1110869.09308154,728126.342717341,526769.893991314
"6","CO","08000","Colorado",945.132087885,874.6970384196,7084.152520559,7183.1514801225,6467.2736223412,6384.113983324,6280.350644496,5657.0582951604,5480.2598423048,4123.6119552296,3282.320327156,2847.6789928984,2832.2319326862,23773.736395717,25106.9657507292,24801.0579115036,25256.123059321,25394.3460870064,23848.4787145416,21766.6529859304,15172.7619809442,11449.433746649,9513.6916208522,8562.986260829,68288.19621688,66901.5525551423,60048.7958732878,56493.4283177726,52843.7183026232,47346.6113780168,43693.6302929684,31264.2422087333,22949.3647291004,19314.3524613002,18707.9550908228,160843.701211395,162753.920855807,153108.864488842,140620.950020505,127904.508252274,107821.437706752,93290.4843067192,65950.8669456026,47223.060190696,39232.7918790258,35783.3670900288,264168.05817503,250175.095962139,221637.837045116,203932.073833349,190023.668471942,165658.36435687,144164.45171596,96856.4171393678,69789.6232935524
"7","CT","09000","Connecticut",1661.6012129094,1500.7961280495,12437.427741376,12605.2681265564,11776.217140414,10926.2193576781,10622.580375645,9293.428049553,8160.3886015463,6256.8356455297,4705.2598984488,3785.4966581844,3410.395978212,28480.363297793,29120.4125827206,28785.2498560572,28153.9407416085,27713.73916395,25947.919681758,23913.7641568812,18481.2793087384,14385.7758659898,11646.6855898482,10711.5394202225,90093.182933864,89243.3699621879,83010.4203591772,76520.2032328363,68978.456749125,60125.017256541,51299.588102896,37647.8516965845,27861.6148888732,21720.2586007842,19953.71821086,160582.434938431,152211.662607188,146394.100889925,133905.963169083,121008.503918295,104340.290586567,95475.4509002329,69950.483941751,50069.139115462,39809.791538208,33883.6268087195,253571.097951402,230743.703027242,202896.55531082,182927.661317787,163804.716581625,139064.294491788,120753.646895215,85549.4718152914,58980.1433839247
"8","DE","10000","Delaware",335.626136508,298.8194901428,2514.13204986,2482,2333.0518682385,2277.5155867184,2144.7037565415,1897.0596171134,1787.2240475601,1505.6478741888,1114.5605899212,843.4275907896,726.0966818025,5945.6559934,6056,6042.6491190039,5768.0214443104,5519.345151243,5296.3076297111,4685.3585436726,4010.1479902152,2943.1211325975,2331.0437024736,2042.8964949898,16921.75000096,16887,16926.94061793,15737.2852330528,15196.718113311,13725.8195354443,11596.9776798483,9689.2068771216,6841.6151712147,5191.2549793248,4544.425998545,40541.33039156,41341,40168.7943732687,37717.9956493912,32834.4431414475,29330.1235622501,25837.0540201512,20123.3012944104,13821.1930018107,10143.2094135744,7989.6644431653,62336.996567,57471,53679.8962866069,47878.3685823728,42704.6926876815,39725.6028096602,34478.1811637091,26804.9916597864,18150.1107934887
"9","FL","12000","Florida",2726.7353185232,2385.3779961275,19201.189702605,19787.545355712,19528.1512040484,19320.5271136878,19728.5780461804,19168.7824495825,17171.4553158924,16557.898449582,12259.0585495286,9678.9447703204,8229.8145803368,64641.253656881,67332.533649152,69966.8613015948,70047.7716306498,70419.9534087948,70056.5253990525,61466.5817434488,57029.657134464,40711.2026124926,31734.0442334312,27664.7283205172,225434.844948624,231946.095200768,223388.995875956,208356.858385829,192537.600067199,177799.185633248,153011.987720605,136422.422172666,90547.6044284482,68876.2496910976,58510.4568143414,478234.549649966,479445.147409568,459975.187152083,430070.727257644,404563.527877321,371811.04777838,321340.103290958,291998.032526466,194736.161580094,142950.640336392,111390.081875952,794414.140086195,758303.879464768,685472.960800914,620498.058527505,571597.191560469,520971.044384123,447814.021768786,387948.69601425,252456.537162313
"10","GA","13000","Georgia",1978.690593341,1721.4944131671,14072.802858387,14538.65094136,13988.2474490218,13548.2342803712,13310.6588310402,12461.195658777,11239.758914421,10891.103412935,7845.3917312804,5825.611828311,4894.6248777465,40945.909746525,42943.140110325,43886.4504630652,42523.83567664,41391.7174765269,41023.1698653598,35668.6480042203,33960.239484023,24589.0464429764,18836.2983281385,16535.5558184323,131558.617854909,133262.192670425,127220.690584897,116019.542048045,108770.210644536,102998.393985808,89448.5755906627,83197.231906466,56534.0162250138,42187.4554117555,35981.11490064,296710.30549335,302949.981322625,291468.256002566,262506.113133549,239876.740330674,219190.275944345,189706.495591189,171859.930174157,112348.700139372,80102.64206615,63007.6440036862,454789.057946475,434311.662336825,403288.657301599,362180.99407399,334377.117912512,308320.803798352,263507.992800663,235726.227981459,154058.578243643
