"","state","year","tavg","tmax","tmin","pcp"
"1","AL",1950,63.1,74.7,51.5,53
"2","AL",1951,63.8,76.1,51.4,52.9
"3","AL",1952,63.3,75.8,50.9,46.7
"4","AL",1953,63.8,76.1,51.4,59.4
"5","AL",1954,64.2,77.2,51.1,35.3
"6","AL",1955,63.4,75.7,51.2,48.1
"7","AL",1956,63.6,75.9,51.2,53.7
"8","AL",1957,64,75,52.9,58.8
"9","AL",1958,61.2,72.8,49.7,49.2
"10","AL",1959,63,74.4,51.4,56.1
"11","AL",1960,61.5,73.3,49.7,51
"12","AL",1961,61.9,73.7,50.1,69.8
"13","AL",1962,63,75.3,50.8,50.1
"14","AL",1963,61.7,74.2,49.3,48.8
"15","AL",1964,62.4,74.2,50.7,66.5
"16","AL",1965,63,74.8,51.2,48.7
"17","AL",1966,61.7,73.2,50.1,55.8
"18","AL",1967,61.9,73.9,49.9,55.8
"19","AL",1968,61,73.4,48.6,45.2
"20","AL",1969,61.4,73.3,49.4,52.5
"21","AL",1970,62.1,74,50.2,53.8
"22","AL",1971,62.7,74.4,50.9,60
"23","AL",1972,63,74.7,51.2,55.9
"24","AL",1973,63.1,74.5,51.6,67.1
"25","AL",1974,63.1,75,51.2,60.4
"26","AL",1975,62.8,74.1,51.6,74.7
"27","AL",1976,60.7,72.9,48.4,55.9
"28","AL",1977,62.5,74.4,50.6,57.8
"29","AL",1978,61.9,73.9,49.8,49.5
"30","AL",1979,61.4,72.7,50,67.9
"31","AL",1980,62.5,74.5,50.5,58.4
"32","AL",1981,62,74.3,49.6,45.8
"33","AL",1982,63.3,74.8,51.9,61.1
"34","AL",1983,61.2,72.5,49.9,70.3
"35","AL",1984,62.8,74.9,50.8,50.5
"36","AL",1985,62.8,74.1,51.5,51.3
"37","AL",1986,64.1,75.8,52.4,47.7
"38","AL",1987,63,75.1,51,48.1
"39","AL",1988,62.1,74.1,50,51.1
"40","AL",1989,62.2,73.3,51.1,65.1
