state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL,0.029783723,0.029036504,0.02715298,0.025390691,0.027617202,0.021943647,0.028231687,0.033267796,0.03446252,0.030644259,0.031455424,0.034758987,0.0308291,0.033003263,0.02964603,0.0296162,0.034815231,0.029721704,0.028723149,0.022409293,0.027494146
AK,0.238662265,0.149521432,0.147828553,0.18359215,0.155990614,0.165675503,0.175536065,0.216025004,0.269800065,0.318203183,0.342825782,0.390995474,0.313913164,0.328333395,0.362974183,0.361750698,0.336426565,0.296466868,0.197605247,0.16376479,0.196290894
AZ,0.023291738,0.021388626,0.019097634,0.01844954,0.016170598,0.015784639,0.015683629,0.019756437,0.022589924,0.025122857,0.026922857,0.027555528,0.025735127,0.032523568,0.039997325,0.036306211,0.03484318,0.033301431,0.025879762,0.023912708,0.025699547
AR,0.051657646,0.043050984,0.038971745,0.03562034,0.038574998,0.031067385,0.039886257,0.051066725,0.040268382,0.040932528,0.049227799,0.062521284,0.052570904,0.055201018,0.060510593,0.058548331,0.072045153,0.068094919,0.047614649,0.038317873,0.037472582
CA,0.023455676,0.018505472,0.017930202,0.018285467,0.017588033,0.017110714,0.01857729,0.020714444,0.021322324,0.022562676,0.025032162,0.02673134,0.02365705,0.025852974,0.028586203,0.027807352,0.027426692,0.025528632,0.019332977,0.017286733,0.016614165
CO,0.024913887,0.022191226,0.02009282,0.021450454,0.024331767,0.021645223,0.029857503,0.038013729,0.053013327,0.055829596,0.055357005,0.0726066,0.053763093,0.060128506,0.068655103,0.061206236,0.065201248,0.071758289,0.051054904,0.039146039,0.044843442
CT,0.002548034,0.002670525,0.00259198,0.002792833,0.002578584,0.002381795,0.002500913,0.002455004,0.00234572,0.002316864,0.002383367,0.001859696,0.001755423,0.002038136,0.001904087,0.00209219,0.002228447,0.001994996,0.002319829,0.002517138,0.001943817
DE,0.006117843,0.00640785,0.005466728,0.005328755,0.00623927,0.00376716,0.005679381,0.007656178,0.007812647,0.005999893,0.005898048,0.006528855,0.007637315,0.007412434,0.006973989,0.007273867,0.009769428,0.009970135,0.006953486,0.006189462,0.005983057
FL,0.014711438,0.01464232,0.01326454,0.012599967,0.011492994,0.010651973,0.010589548,0.0104196,0.010226099,0.010197408,0.009989387,0.01078282,0.010076827,0.011325021,0.011461248,0.011384099,0.010629917,0.009487809,0.009098828,0.008670697,0.008023057
GA,0.016956222,0.015669634,0.014208011,0.013114626,0.013352146,0.010918699,0.012694237,0.013478473,0.012561093,0.0113457,0.011874551,0.012708017,0.012141136,0.011874371,0.01122308,0.012959563,0.01334983,0.011247282,0.010791132,0.009625331,0.00982375
HI,0.009879166,0.009764534,0.010121354,0.009548611,0.009051034,0.009016915,0.009239661,0.008520138,0.007921739,0.008186418,0.007698206,0.007452168,0.007586186,0.007343349,0.007412486,0.007017592,0.006686319,0.006425651,0.006068376,0.005818336,0.005241899
ID,0.062531792,0.063483399,0.057722582,0.052360268,0.055356146,0.054322955,0.049578655,0.062187572,0.059670171,0.055964971,0.06188196,0.074499132,0.062803905,0.077744399,0.093190469,0.07720506,0.083018372,0.084537743,0.071372012,0.061938906,0.05446123
IL,0.011385307,0.009072026,0.00652568,0.006807771,0.006659949,0.007144706,0.008856989,0.011417449,0.006965736,0.008800255,0.010650027,0.014291316,0.011580924,0.011656128,0.016214165,0.012436566,0.019229064,0.013412162,0.009568923,0.010050119,0.009604297
IN,0.018645157,0.015247695,0.011547983,0.012516607,0.014029958,0.012652858,0.015402028,0.017270071,0.012500153,0.01392561,0.015774575,0.020115184,0.018296778,0.018865652,0.024254896,0.020843611,0.030110879,0.022444479,0.017172711,0.016517626,0.016554263
IA,0.065021726,0.044599376,0.028321138,0.033378344,0.032762107,0.039682302,0.040280916,0.059344365,0.041685245,0.041371981,0.048358261,0.062849841,0.05033961,0.053812007,0.082677721,0.071205591,0.084427467,0.070458444,0.056107384,0.049973147,0.047226209
KS,0.048435588,0.036552997,0.029827088,0.029435126,0.032821753,0.02771011,0.039816122,0.043459422,0.045078372,0.040216298,0.043690509,0.055031692,0.049070056,0.055522709,0.069789018,0.058610709,0.076503265,0.056211582,0.041812536,0.040502306,0.038067897
