"","state","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"1","AK",135,158,189,205,215,222,224,231,224,224,229,238,246,256,263,271,271,278,285,296,302.583,315.51,324.464,330.543,341.063,376.17,400.969,403.436,404.766,402.753,405.315,418.491,449.606,488.417,513.702,532.495,544.268,539.309,541.983,547.159,553.12,569.273,587.073,596.993,600.624,601.345,604.918,608.846,615.205,619.5,627.963,633.714,642.337,648.414,659.286,666.946,675.302,680.3,687.455,698.895,714.015,722.259,730.825,736.76,736.759,737.979,741.522,739.795
"2","AL",3058,3059,3068,3053,3014,3050,3071,3109,3163,3204,3274,3316,3323,3358,3395,3443,3464,3458,3446,3440,3444.354,3497.076,3539.4,3579.78,3626.499,3678.814,3735.139,3780.403,3831.836,3866.248,3900.368,3918.531,3925.266,3934.102,3951.82,3972.523,3991.569,4015.264,4023.844,4030.222,4048.508,4091.025,4139.269,4193.114,4232.965,4262.731,4290.403,4320.281,4351.037,4369.862,4452.173,4467.634,4480.089,4503.491,4530.729,4569.805,4628.981,4672.84,4718.206,4757.938,4785.579,4798.649,4813.946,4827.66,4840.037,4850.858,4860.545,4874.747
"3","AR",1908,1901,1838,1780,1734,1725,1704,1733,1726,1756,1789,1806,1853,1875,1897,1894,1899,1901,1902,1913,1923.322,1972.312,2018.638,2059.256,2101.403,2159.526,2170.161,2209.01,2243.127,2271.333,2288.738,2293.201,2294.257,2305.761,2319.768,2327.046,2331.984,2342.355,2342.656,2346.358,2354.343,2370.666,2394.098,2423.743,2450.605,2480.121,2504.858,2524.007,2538.202,2551.373,2678.588,2691.571,2705.927,2724.816,2749.686,2781.097,2821.761,2848.65,2874.554,2896.843,2921.737,2938.64,2949.208,2956.78,2964.8,2975.626,2988.231,3004.279
"4","AZ",756,785,842,894,933,987,1053,1125,1193,1261,1321,1407,1471,1521,1556,1584,1614,1646,1682,1737,1775.399,1895.814,2008.291,2124.438,2223.196,2284.847,2346.157,2425.197,2515.316,2635.571,2737.774,2810.107,2889.861,2968.925,3067.135,3183.538,3308.262,3437.103,3535.183,3622.185,3679.056,3762.394,3867.333,3993.39,4147.561,4306.908,4432.308,4552.207,4667.277,4778.332,5160.586,5273.477,5396.255,5510.364,5652.404,5839.077,6029.141,6167.681,6280.362,6343.154,6407.002,6465.488,6544.211,6616.124,6706.435,6802.262,6908.642,7016.27
"5","CA",10677,11134,11635,12251,12746,13133,13713,14264,14880,15467,15870,16497,17072,17668,18151,18585,18858,19176,19394,19711,19971.069,20345.939,20585.469,20868.728,21173.865,21537.849,21935.909,22352.396,22835.958,23256.88,23800.8,24285.933,24820.009,25360.026,25844.393,26441.109,27102.237,27777.158,28464.249,29218.164,29950.111,30414.114,30875.92,31147.208,31317.179,31493.525,31780.829,32217.708,32682.794,33145.121,33987.977,34479.458,34871.843,35253.159,35574.576,35827.943,36021.202,36250.311,36604.337,36961.229,37327.69,37672.654,38019.006,38347.383,38701.278,39032.444,39296.476,39536.653
"6","CO",1325,1326,1365,1431,1493,1546,1625,1664,1667,1710,1769,1844,1899,1936,1970,1985,2007,2053,2120,2166,2209.596,2303.524,2404.619,2495.868,2541.406,2586.192,2632.306,2696.14,2766.748,2849.234,2908.803,2977.898,3061.564,3133.63,3169.992,3208.723,3237.45,3260.48,3262.281,3275.818,3303.862,3367.567,3459.995,3560.884,3653.91,3738.061,3812.716,3891.293,3968.967,4056.133,4326.921,4425.687,4490.406,4528.732,4575.013,4631.888,4720.423,4803.868,4889.73,4972.195,5048.029,5116.411,5186.33,5262.556,5342.311,5440.445,5530.105,5607.154
"7","CT",2016,2028,2081,2168,2249,2300,2316,2359,2446,2523,2544,2586,2647,2727,2798,2857,2903,2935,2964,3000,3032.217,3060.938,3068.699,3067.814,3074.047,3082.5,3083.335,3085.722,3091.627,3095.917,3113.174,3128.836,3139.013,3162.354,3180.014,3201.131,3223.74,3247.291,3271.953,3283.403,3289.056,3288.64,3274.997,3272.325,3268.346,3265.293,3267.03,3268.514,3272.563,3282.031,3411.777,3432.835,3458.749,3484.336,3496.094,3506.956,3517.46,3527.27,3545.579,3561.807,3580.171,3591.927,3597.705,3602.47,3600.188,3593.862,3587.685,3588.184
"8","DE",321,331,341,351,368,389,408,426,433,441,449,461,469,483,497,507,516,525,534,540,548.104,564.708,572.913,577.759,581.418,586.589,590.166,591.829,594.776,594.984,594.919,595.975,599.148,605.458,611.565,618.28,627.559,636.947,647.622,658.273,669.063,680.495,690.158,699.475,708.416,718.265,727.09,735.024,744.066,753.538,786.373,795.699,806.169,818.003,830.803,845.15,859.268,871.749,883.874,891.73,899.712,907.884,916.868,925.114,934.805,944.107,952.698,961.939
"9","FL",2810,2980,3157,3310,3505,3747,4047,4372,4630,4808,5004,5243,5458,5628,5781,5954,6104,6242,6433,6641,6791.418,7158.304,7511.463,7913.696,8298.762,8518.422,8667.379,8856.183,9102.032,9426.159,9839.835,10192.774,10471.407,10749.851,11039.925,11351.118,11667.505,11997.283,12306.395,12637.715,13018.365,13289.497,13504.775,13713.593,13961.798,14185.403,14426.911,14683.35,14908.23,15111.244,16047.515,16356.966,16689.37,17004.085,17415.318,17842.038,18166.99,18367.842,18527.305,18652.644,18846.461,19097.369,19341.327,19584.927,19897.747,20268.567,20656.589,20984.4
"10","GA",3458,3531,3584,3558,3602,3636,3701,3766,3804,3868,3956,4015,4086,4172,4258,4332,4379,4408,4482,4551,4587.93,4711.55,4809.49,4910.374,4999.419,5064.075,5132.812,5219.697,5295.751,5401.384,5486.174,5568.345,5649.792,5728.25,5834.954,5962.661,6084.666,6208.467,6316.142,6411.099,6506.531,6621.279,6759.474,6894.092,7045.9,7188.538,7332.225,7486.094,7636.522,7788.24,8227.303,8377.038,8508.256,8622.793,8769.252,8925.922,9155.813,9349.988,9504.843,9620.846,9712.696,9810.595,9911.171,9981.773,10083.85,10199.533,10313.62,10429.379
"11","HI",498,514,517,510,505,539,559,584,605,622,642,659,684,682,700,704,710,723,734,750,769.913,801.644,828.331,851.595,867.978,886.16,904.191,918.259,931.584,953.306,967.71,978.195,993.78,1012.717,1027.922,1039.698,1051.762,1067.918,1079.828,1094.588,1112.703,1131.412,1149.926,1161.508,1173.903,1180.49,1184.434,1189.322,1190.472,1185.497,1213.519,1225.948,1239.613,1251.154,1273.569,1292.729,1309.731,1315.675,1332.213,1346.717,1363.817,1378.323,1392.772,1408.038,1417.71,1426.32,1428.683,1427.538
