"","state","year","rgdp","pop","primind"
"1","AK","1997",29943.845542501,608.846,0.238662265
"2","AK","1998",23642.256718791,615.205,0.149521432
"3","AK","1999",21381.6950271408,619.5,0.147828553
"4","AK","2000",20513.3026925631,627.963,0.18359215
"5","AK","2001",19409.134028655,633.714,0.155990614
"6","AK","2002",16920.554171337,642.337,0.165675503
"7","AK","2003",15263.6283732233,648.414,0.175536065
"8","AK","2004",11713.8853420085,659.286,0.216025004
"9","AK","2005",9059.3438731043,666.946,0.269800065
"10","AK","2006",7516.3187801538,675.302,0.318203183
"11","AK","2007",6997.8833391765,680.3,0.342825782
"12","AK","2008",60212.306211981,687.455,0.390995474
"13","AK","2009",49648.7391094611,698.895,0.313913164
"14","AK","2010",46891.7792334808,714.015,0.328333395
"15","AK","2011",44886.6477828293,722.259,0.362974183
"16","AK","2012",41390.47284015,730.825,0.361750698
"17","AK","2013",34001.428077792,736.76,0.336426565
"18","AK","2014",27723.1206434224,736.759,0.296466868
"19","AK","2015",17456.1687290144,737.979,0.197605247
"20","AK","2016",11428.9333807862,741.522,0.16376479
"21","AK","2017",8880.6587453958,739.795,0.196290894
"22","AL","1997",111967.215339645,4320.281,0.029783723
"23","AL","1998",108032.623511495,4351.037,0.029036504
"24","AL","1999",97030.195104823,4369.862,0.02715298
"25","AL","2000",88973.916428012,4452.173,0.025390691
"26","AL","2001",81367.6399639544,4467.634,0.027617202
"27","AL","2002",69349.5365139532,4480.089,0.021943647
"28","AL","2003",61383.6605840688,4503.491,0.028231687
"29","AL","2004",43973.1280968691,4530.729,0.033267796
"30","AL","2005",31917.103677525,4569.805,0.03446252
"31","AL","2006",26235.2716000456,4628.981,0.030644259
"32","AL","2007",23864.9879350311,4672.84,0.031455424
"33","AL","2008",184444.366771894,4718.206,0.034758987
"34","AL","2009",166189.985068978,4757.938,0.0308291
"35","AL","2010",147390.735006422,4785.579,0.033003263
"36","AL","2011",135056.903137849,4798.649,0.02964603
"37","AL","2012",123141.246529286,4813.946,0.0296162
"38","AL","2013",103215.95989614,4827.66,0.034815231
"39","AL","2014",88596.7728431816,4840.037,0.029721704
"40","AL","2015",59773.2271548676,4850.858,0.028723149
"41","AL","2016",41578.9760003463,4860.545,0.022409293
"42","AL","2017",33650.5307118468,4874.747,0.027494146
"43","AR","1997",66406.728479637,2524.007,0.051657646
"44","AR","1998",64240.9231064,2538.202,0.043050984
"45","AR","1999",61677.820744122,2551.373,0.038971745
"46","AR","2000",55874.6753316414,2678.588,0.03562034
"47","AR","2001",50962.5560941348,2691.571,0.038574998
"48","AR","2002",46279.0157755275,2705.927,0.031067385
"49","AR","2003",39596.7395876616,2724.816,0.039886257
"50","AR","2004",35552.216870478,2749.686,0.051066725
"51","AR","2005",23571.5391636658,2781.097,0.040268382
"52","AR","2006",17611.0631213172,2821.761,0.040932528
"53","AR","2007",14495.9532464824,2848.65,0.049227799
"54","AR","2008",109888.700345582,2874.554,0.062521284
"55","AR","2009",101114.33613632,2896.843,0.052570904
"56","AR","2010",95177.8958769108,2921.737,0.055201018
"57","AR","2011",87119.7996236802,2938.64,0.060510593
"58","AR","2012",78567.6036632552,2949.208,0.058548331
"59","AR","2013",71486.17392882,2956.78,0.072045153
"60","AR","2014",59290.5555714252,2964.8,0.068094919
"61","AR","2015",49654.514222838,2975.626,0.047614649
"62","AR","2016",31650.465705705,2988.231,0.038317873
"63","AR","2017",23196.5624161864,3004.279,0.037472582
"64","AZ","1997",140520.74244438,4552.207,0.023291738
"65","AZ","1998",143768,4667.277,0.021388626
"66","AZ","1999",139844.293269137,4778.332,0.019097634
"67","AZ","2000",131021.902227331,5160.586,0.01844954
"68","AZ","2001",120399.713524608,5273.477,0.016170598
"69","AZ","2002",107618.885828065,5396.255,0.015784639
"70","AZ","2003",95051.4119801595,5510.364,0.015683629
"71","AZ","2004",77147.8249109952,5652.404,0.019756437
"72","AZ","2005",56112.5479635306,5839.077,0.022589924
"73","AZ","2006",44238.3736077672,6029.141,0.025122857
"74","AZ","2007",37864.6776085445,6167.681,0.026922857
"75","AZ","2008",279041.48360396,6280.362,0.027555528
"76","AZ","2009",242509,6343.154,0.025735127
"77","AZ","2010",220021.568662732,6407.002,0.032523568
"78","AZ","2011",200737.254514259,6465.488,0.039997325
"79","AZ","2012",184974.933669026,6544.211,0.036306211
"80","AZ","2013",162064.376999698,6616.124,0.03484318
"81","AZ","2014",138651.19398942,6706.435,0.033301431
"82","AZ","2015",110851.813042498,6802.262,0.025879762
"83","AZ","2016",75116.1021848199,6908.642,0.023912708
"84","AZ","2017",56949.61260588,7016.27,0.025699547
"85","CA","1997",1165810.14371814,32217.708,0.023455676
"86","CA","1998",1212030.51368535,32682.794,0.018505472
"87","CA","1999",1186691.37012194,33145.121,0.017930202
"88","CA","2000",1124340.93905106,33987.977,0.018285467
"89","CA","2001",1013031.5335085,34479.458,0.017588033
"90","CA","2002",921006.874616617,34871.843,0.017110714
"91","CA","2003",793855.782690297,35253.159,0.01857729
"92","CA","2004",728028.442379714,35574.576,0.020714444
"93","CA","2005",491050.756533372,35827.943,0.021322324
"94","CA","2006",360436.95910024,36021.202,0.022562676
"95","CA","2007",299310.709475956,36250.311,0.025032162
"96","CA","2008",2230162.1122796,36604.337,0.02673134
"97","CA","2009",2013294.65127017,36961.229,0.02365705
"98","CA","2010",1869301.87101949,37327.69,0.025852974
"99","CA","2011",1679750.90236343,37672.654,0.028586203
"100","CA","2012",1568834.35405674,38019.006,0.027807352
"101","CA","2013",1431053.61920934,38347.383,0.027426692
"102","CA","2014",1229192.95773788,38701.278,0.025528632
"103","CA","2015",1110869.09308154,39032.444,0.019332977
"104","CA","2016",728126.342717341,39296.476,0.017286733
"105","CA","2017",526769.893991314,39536.653,0.016614165
"106","CO","1997",18707.9550908228,3891.293,0.024913887
"107","CO","1998",160843.701211395,3968.967,0.022191226
"108","CO","1999",162753.920855807,4056.133,0.02009282
"109","CO","2000",153108.864488842,4326.921,0.021450454
"110","CO","2001",140620.950020505,4425.687,0.024331767
"111","CO","2002",127904.508252274,4490.406,0.021645223
"112","CO","2003",107821.437706752,4528.732,0.029857503
"113","CO","2004",93290.4843067192,4575.013,0.038013729
"114","CO","2005",65950.8669456026,4631.888,0.053013327
"115","CO","2006",47223.060190696,4720.423,0.055829596
"116","CO","2007",39232.7918790258,4803.868,0.055357005
"117","CO","2008",35783.3670900288,4889.73,0.0726066
"118","CO","2009",264168.05817503,4972.195,0.053763093
"119","CO","2010",250175.095962139,5048.029,0.060128506
"120","CO","2011",221637.837045116,5116.411,0.068655103
"121","CO","2012",203932.073833349,5186.33,0.061206236
"122","CO","2013",190023.668471942,5262.556,0.065201248
"123","CO","2014",165658.36435687,5342.311,0.071758289
"124","CO","2015",144164.45171596,5440.445,0.051054904
"125","CO","2016",96856.4171393678,5530.105,0.039146039
"126","CO","2017",69789.6232935524,5607.154,0.044843442
"127","CT","1997",19953.71821086,3268.514,0.002548034
"128","CT","1998",160582.434938431,3272.563,0.002670525
"129","CT","1999",152211.662607188,3282.031,0.00259198
"130","CT","2000",146394.100889925,3411.777,0.002792833
"131","CT","2001",133905.963169083,3432.835,0.002578584
"132","CT","2002",121008.503918295,3458.749,0.002381795
"133","CT","2003",104340.290586567,3484.336,0.002500913
"134","CT","2004",95475.4509002329,3496.094,0.002455004
"135","CT","2005",69950.483941751,3506.956,0.00234572
"136","CT","2006",50069.139115462,3517.46,0.002316864
"137","CT","2007",39809.791538208,3527.27,0.002383367
"138","CT","2008",33883.6268087195,3545.579,0.001859696
"139","CT","2009",253571.097951402,3561.807,0.001755423
"140","CT","2010",230743.703027242,3580.171,0.002038136
"141","CT","2011",202896.55531082,3591.927,0.001904087
"142","CT","2012",182927.661317787,3597.705,0.00209219
"143","CT","2013",163804.716581625,3602.47,0.002228447
"144","CT","2014",139064.294491788,3600.188,0.001994996
"145","CT","2015",120753.646895215,3593.862,0.002319829
"146","CT","2016",85549.4718152914,3587.685,0.002517138
"147","CT","2017",58980.1433839247,3588.184,0.001943817
"148","DE","1997",4544.425998545,735.024,0.006117843
"149","DE","1998",40541.33039156,744.066,0.00640785
"150","DE","1999",41341,753.538,0.005466728
"151","DE","2000",40168.7943732687,786.373,0.005328755
"152","DE","2001",37717.9956493912,795.699,0.00623927
"153","DE","2002",32834.4431414475,806.169,0.00376716
"154","DE","2003",29330.1235622501,818.003,0.005679381
"155","DE","2004",25837.0540201512,830.803,0.007656178
"156","DE","2005",20123.3012944104,845.15,0.007812647
"157","DE","2006",13821.1930018107,859.268,0.005999893
"158","DE","2007",10143.2094135744,871.749,0.005898048
"159","DE","2008",7989.6644431653,883.874,0.006528855
"160","DE","2009",62336.996567,891.73,0.007637315
"161","DE","2010",57471,899.712,0.007412434
"162","DE","2011",53679.8962866069,907.884,0.006973989
"163","DE","2012",47878.3685823728,916.868,0.007273867
"164","DE","2013",42704.6926876815,925.114,0.009769428
"165","DE","2014",39725.6028096602,934.805,0.009970135
"166","DE","2015",34478.1811637091,944.107,0.006953486
"167","DE","2016",26804.9916597864,952.698,0.006189462
"168","DE","2017",18150.1107934887,961.939,0.005983057
"169","FL","1997",58510.4568143414,14683.35,0.014711438
"170","FL","1998",478234.549649966,14908.23,0.01464232
"171","FL","1999",479445.147409568,15111.244,0.01326454
"172","FL","2000",459975.187152083,16047.515,0.012599967
"173","FL","2001",430070.727257644,16356.966,0.011492994
"174","FL","2002",404563.527877321,16689.37,0.010651973
"175","FL","2003",371811.04777838,17004.085,0.010589548
"176","FL","2004",321340.103290958,17415.318,0.0104196
"177","FL","2005",291998.032526466,17842.038,0.010226099
"178","FL","2006",194736.161580094,18166.99,0.010197408
"179","FL","2007",142950.640336392,18367.842,0.009989387
"180","FL","2008",111390.081875952,18527.305,0.01078282
"181","FL","2009",794414.140086195,18652.644,0.010076827
"182","FL","2010",758303.879464768,18846.461,0.011325021
"183","FL","2011",685472.960800914,19097.369,0.011461248
"184","FL","2012",620498.058527505,19341.327,0.011384099
"185","FL","2013",571597.191560469,19584.927,0.010629917
"186","FL","2014",520971.044384123,19897.747,0.009487809
"187","FL","2015",447814.021768786,20268.567,0.009098828
"188","FL","2016",387948.69601425,20656.589,0.008670697
"189","FL","2017",252456.537162313,20984.4,0.008023057
"190","GA","1997",35981.11490064,7486.094,0.016956222
"191","GA","1998",296710.30549335,7636.522,0.015669634
"192","GA","1999",302949.981322625,7788.24,0.014208011
"193","GA","2000",291468.256002566,8227.303,0.013114626
"194","GA","2001",262506.113133549,8377.038,0.013352146
"195","GA","2002",239876.740330674,8508.256,0.010918699
"196","GA","2003",219190.275944345,8622.793,0.012694237
