state,year,tavg
Alabama,1950,58.9
Alabama,1950,53.2
Alabama,1950,52.2
Alabama,1950,59.2
Alabama,1950,73.7
Alabama,1950,77.6
Alabama,1950,77.5
Alabama,1950,77.1
Alabama,1950,72.1
Alabama,1950,66.1
Alabama,1950,48.6
Alabama,1950,41.2
Alabama,1951,46.8
Alabama,1951,49.3
Alabama,1951,56.1
Alabama,1951,61.1
Alabama,1951,70.2
Alabama,1951,78.4
Alabama,1951,80.8
Alabama,1951,82.4
Alabama,1951,75.6
Alabama,1951,65.9
Alabama,1951,48.7
Alabama,1951,49.9
Alabama,1952,52.4
Alabama,1952,51.1
Alabama,1952,53.3
Alabama,1952,61.0
Alabama,1952,71.5
Alabama,1952,82.0
Alabama,1952,82.3
Alabama,1952,79.7
Alabama,1952,72.1
Alabama,1952,57.6
Alabama,1952,51.9
Alabama,1952,45.3
Alabama,1953,49.0
Alabama,1953,48.9
Alabama,1953,58.1
Alabama,1953,60.6
Alabama,1953,73.8
Alabama,1953,80.6
Alabama,1953,79.6
Alabama,1953,79.0
Alabama,1953,73.7
Alabama,1953,65.3
Alabama,1953,52.1
Alabama,1953,44.4
Alabama,1954,46.9
Alabama,1954,52.0
Alabama,1954,53.8
Alabama,1954,67.5
Alabama,1954,66.2
Alabama,1954,79.0
Alabama,1954,82.4
Alabama,1954,83.4
Alabama,1954,78.2
Alabama,1954,65.2
Alabama,1954,50.9
Alabama,1954,44.6
Alabama,1955,44.0
Alabama,1955,49.1
Alabama,1955,58.6
Alabama,1955,66.2
Alabama,1955,73.3
Alabama,1955,73.3
Alabama,1955,79.8
Alabama,1955,80.3
Alabama,1955,76.8
Alabama,1955,62.0
Alabama,1955,51.8
Alabama,1955,46.0
Alabama,1956,42.2
Alabama,1956,53.5
Alabama,1956,54.6
Alabama,1956,61.2
Alabama,1956,73.3
Alabama,1956,76.2
Alabama,1956,79.6
Alabama,1956,80.1
Alabama,1956,72.1
Alabama,1956,65.0
Alabama,1956,51.0
Alabama,1956,54.2
Alabama,1957,48.4
Alabama,1957,56.4
Alabama,1957,52.7
Alabama,1957,65.0
Alabama,1957,71.8
Alabama,1957,78.2
Alabama,1957,79.7
Alabama,1957,79.5
Alabama,1957,73.8
Alabama,1957,59.4
Alabama,1957,55.0
Alabama,1957,47.5
Alabama,1958,39.7
Alabama,1958,38.2
Alabama,1958,50.9
Alabama,1958,63.3
Alabama,1958,70.8
Alabama,1958,77.9
Alabama,1958,79.0
Alabama,1958,78.9
Alabama,1958,75.1
Alabama,1958,62.3
Alabama,1958,55.9
Alabama,1958,42.6
Alabama,1959,43.1
Alabama,1959,49.4
Alabama,1959,52.1
Alabama,1959,62.3
Alabama,1959,72.8
Alabama,1959,76.6
Alabama,1959,79.8
Alabama,1959,80.2
Alabama,1959,74.7
Alabama,1959,66.2
Alabama,1959,51.4
Alabama,1959,46.9
Alabama,1960,44.5
Alabama,1960,44.4
Alabama,1960,45.3
Alabama,1960,64.1
Alabama,1960,67.8
Alabama,1960,77.3
Alabama,1960,81.1
Alabama,1960,79.1
Alabama,1960,74.6
Alabama,1960,65.1
Alabama,1960,53.4
Alabama,1960,41.8
Alabama,1961,39.2
Alabama,1961,52.0
Alabama,1961,57.4
Alabama,1961,58.9
Alabama,1961,67.7
Alabama,1961,73.9
Alabama,1961,77.9
Alabama,1961,77.4
Alabama,1961,74.4
Alabama,1961,62.0
Alabama,1961,55.4
Alabama,1961,47.0
Alabama,1962,42.6
Alabama,1962,55.4
Alabama,1962,50.9
Alabama,1962,60.0
Alabama,1962,75.3
Alabama,1962,77.0
Alabama,1962,80.8
Alabama,1962,80.3
Alabama,1962,74.6
Alabama,1962,65.6
Alabama,1962,51.2
Alabama,1962,42.9
Alabama,1963,39.1
Alabama,1963,41.8
Alabama,1963,58.3
Alabama,1963,65.8
Alabama,1963,71.7
Alabama,1963,77.1
Alabama,1963,78.1
Alabama,1963,79.3
Alabama,1963,73.1
Alabama,1963,65.7
Alabama,1963,53.1
Alabama,1963,37.6
Alabama,1964,42.4
Alabama,1964,42.5
Alabama,1964,54.1
Alabama,1964,65.0
Alabama,1964,71.1
Alabama,1964,78.4
Alabama,1964,78.1
Alabama,1964,78.1
Alabama,1964,74.6
Alabama,1964,59.8
Alabama,1964,56.3
Alabama,1964,48.3
Alabama,1965,46.5
Alabama,1965,46.4
Alabama,1965,51.3
Alabama,1965,66.1
Alabama,1965,72.6
Alabama,1965,75.7
Alabama,1965,78.8
Alabama,1965,78.4
Alabama,1965,74.8
Alabama,1965,62.1
Alabama,1965,56.9
Alabama,1965,46.6
Alabama,1966,40.0
Alabama,1966,46.6
Alabama,1966,53.2
Alabama,1966,63.4
Alabama,1966,69.4
Alabama,1966,74.3
Alabama,1966,80.9
Alabama,1966,77.5
Alabama,1966,72.9
Alabama,1966,61.5
Alabama,1966,54.4
Alabama,1966,45.8
Alabama,1967,45.4
Alabama,1967,44.3
Alabama,1967,58.7
Alabama,1967,67.9
Alabama,1967,68.8
Alabama,1967,76.3
Alabama,1967,76.1
Alabama,1967,75.2
Alabama,1967,68.8
Alabama,1967,60.7
Alabama,1967,50.4
Alabama,1967,50.4
Alabama,1968,42.3
Alabama,1968,40.0
Alabama,1968,52.0
Alabama,1968,63.8
Alabama,1968,69.0
Alabama,1968,77.6
Alabama,1968,78.7
Alabama,1968,79.4
Alabama,1968,72.3
Alabama,1968,63.6
Alabama,1968,50.8
Alabama,1968,42.5
Alabama,1969,43.3
Alabama,1969,45.8
Alabama,1969,47.6
Alabama,1969,64.0
Alabama,1969,69.9
Alabama,1969,77.8
Alabama,1969,81.1
Alabama,1969,77.1
Alabama,1969,72.0
Alabama,1969,64.1
Alabama,1969,50.2
Alabama,1969,43.5
Alabama,1970,38.0
Alabama,1970,44.3
Alabama,1970,52.7
Alabama,1970,65.8
Alabama,1970,70.8
Alabama,1970,75.3
Alabama,1970,79.0
Alabama,1970,79.1
Alabama,1970,77.4
Alabama,1970,64.2
Alabama,1970,49.3
Alabama,1970,49.5
Alabama,1971,45.0
Alabama,1971,45.8
Alabama,1971,50.0
Alabama,1971,61.2
Alabama,1971,66.6
Alabama,1971,78.0
Alabama,1971,78.0
Alabama,1971,77.7
Alabama,1971,75.2
Alabama,1971,67.7
Alabama,1971,52.2
Alabama,1971,54.9
Alabama,1972,49.1
Alabama,1972,47.0
Alabama,1972,55.1
Alabama,1972,63.5
Alabama,1972,68.7
Alabama,1972,75.0
Alabama,1972,77.6
Alabama,1972,79.1
Alabama,1972,77.2
Alabama,1972,63.4
Alabama,1972,50.7
Alabama,1972,49.1
Alabama,1973,43.2
Alabama,1973,44.6
Alabama,1973,59.9
Alabama,1973,60.1
Alabama,1973,67.7
Alabama,1973,76.9
Alabama,1973,79.9
Alabama,1973,77.6
Alabama,1973,76.5
Alabama,1973,66.7
Alabama,1973,57.6
Alabama,1973,46.0
Alabama,1974,55.0
Alabama,1974,47.7
Alabama,1974,60.1
Alabama,1974,62.0
Alabama,1974,71.8
Alabama,1974,73.4
Alabama,1974,78.9
Alabama,1974,77.8
Alabama,1974,70.9
Alabama,1974,60.3
Alabama,1974,52.6
Alabama,1974,46.7
Alabama,1975,49.0
Alabama,1975,51.1
Alabama,1975,53.7
Alabama,1975,60.9
Alabama,1975,72.3
Alabama,1975,76.1
Alabama,1975,78.0
Alabama,1975,78.5
Alabama,1975,70.4
Alabama,1975,64.3
Alabama,1975,54.4
Alabama,1975,45.2
Alabama,1976,40.6
Alabama,1976,53.0
Alabama,1976,58.2
Alabama,1976,62.7
Alabama,1976,65.4
Alabama,1976,74.6
Alabama,1976,78.6
Alabama,1976,77.1
Alabama,1976,72.0
Alabama,1976,57.9
Alabama,1976,45.9
Alabama,1976,42.1
Alabama,1977,33.3
Alabama,1977,45.2
Alabama,1977,57.5
Alabama,1977,64.9
Alabama,1977,71.9
Alabama,1977,79.1
Alabama,1977,81.3
Alabama,1977,79.6
Alabama,1977,75.7
Alabama,1977,60.3
Alabama,1977,55.9
Alabama,1977,44.8
Alabama,1978,35.6
Alabama,1978,38.8
Alabama,1978,51.2
Alabama,1978,63.9
Alabama,1978,70.0
Alabama,1978,78.0
Alabama,1978,80.7
Alabama,1978,79.3
Alabama,1978,76.9
Alabama,1978,62.2
Alabama,1978,59.2
Alabama,1978,46.6
Alabama,1979,37.8
Alabama,1979,43.6
Alabama,1979,55.8
Alabama,1979,63.6
Alabama,1979,69.5
Alabama,1979,75.2
Alabama,1979,79.0
Alabama,1979,78.4
Alabama,1979,72.6
Alabama,1979,62.4
Alabama,1979,52.8
Alabama,1979,45.6
Alabama,1980,46.7
Alabama,1980,42.7
Alabama,1980,52.6
Alabama,1980,60.6
Alabama,1980,70.2
Alabama,1980,77.4
