"","state","year","month","tavg","tmax","tmin","pcp"
"1","AL",1950,1,58.9,68.4,49.4,4.9
"2","AL",1950,10,66.1,78.5,53.7,1.7
"3","AL",1950,11,48.6,62.8,34.4,1.7
"4","AL",1950,12,41.2,51.7,30.8,4
"5","AL",1950,2,53.2,65.8,40.7,4.2
"6","AL",1950,3,52.2,64.3,40.2,6.7
"7","AL",1950,4,59.2,72.1,46.3,3.4
"8","AL",1950,5,73.7,85,62.3,4.1
"9","AL",1950,6,77.6,89,66.1,3.3
"10","AL",1950,7,77.5,88,67,9.1
"11","AL",1950,8,77.1,88.9,65.2,5.5
"12","AL",1950,9,72.1,82.2,62,3.8
"13","AL",1951,1,46.8,58.9,34.8,3.9
"14","AL",1951,10,65.9,78.8,53,1.7
"15","AL",1951,11,48.7,61.3,36,3.6
"16","AL",1951,12,49.9,61.7,38.1,7.5
"17","AL",1951,2,49.3,61.8,36.8,3.3
"18","AL",1951,3,56.1,67.2,45,9.2
"19","AL",1951,4,61.1,73.9,48.4,5
"20","AL",1951,5,70.2,84.5,55.8,1.4
"21","AL",1951,6,78.4,90.4,66.5,4.6
"22","AL",1951,7,80.8,92.5,69.1,4.1
"23","AL",1951,8,82.4,95.4,69.3,2.2
"24","AL",1951,9,75.6,87,64.3,5.8
"25","AL",1952,1,52.4,63,41.8,3.9
"26","AL",1952,10,57.6,72.6,42.7,1.2
"27","AL",1952,11,51.9,65.6,38.1,2.6
"28","AL",1952,12,45.3,56.1,34.6,5.9
"29","AL",1952,2,51.1,61.8,40.3,4.3
"30","AL",1952,3,53.3,65.9,40.8,6.5
"31","AL",1952,4,61,74.5,47.6,2.9
"32","AL",1952,5,71.5,84.3,58.6,5.3
"33","AL",1952,6,82,95,69,2
"34","AL",1952,7,82.3,95.8,68.8,2.2
"35","AL",1952,8,79.7,91.1,68.3,6.2
"36","AL",1952,9,72.1,84,60.2,3.2
"37","AL",1953,1,49,60.6,37.3,5.4
"38","AL",1953,10,65.3,80.1,50.5,0.5
"39","AL",1953,11,52.1,66.6,37.7,2.6
"40","AL",1953,12,44.4,54.8,34.1,10.3
"41","AL",1953,2,48.9,60.2,37.6,7.4
"42","AL",1953,3,58.1,70,46.2,3.7
"43","AL",1953,4,60.6,73.8,47.4,7.7
"44","AL",1953,5,73.8,85.2,62.5,4.4
"45","AL",1953,6,80.6,92.8,68.3,3.7
"46","AL",1953,7,79.6,90.2,69,5.9
"47","AL",1953,8,79,91.5,66.6,2.6
"48","AL",1953,9,73.7,87.3,60,4.7
"49","AL",1954,1,46.9,58.7,35.1,4.2
"50","AL",1954,10,65.2,79.6,50.7,1.5
"51","AL",1954,11,50.9,63.9,37.8,3
"52","AL",1954,12,44.6,56.6,32.6,4.7
"53","AL",1954,2,52,66,38.1,3.1
"54","AL",1954,3,53.8,65.7,41.9,3.7
"55","AL",1954,4,67.5,80.4,54.6,3.5
"56","AL",1954,5,66.2,78.3,54,2.3
"57","AL",1954,6,79,92.6,65.3,2.2
"58","AL",1954,7,82.4,94.8,70,3.9
"59","AL",1954,8,83.4,97.3,69.4,1.8
"60","AL",1954,9,78.2,93,63.3,1.1
"61","AL",1955,1,44,54.8,33.2,4.4
"62","AL",1955,10,62,76.7,47.2,2.4
"63","AL",1955,11,51.8,65.2,38.4,3.1
"64","AL",1955,12,46,56.8,35.2,2
"65","AL",1955,2,49.1,60.4,37.8,5.4
"66","AL",1955,3,58.6,71.6,45.6,3.2
"67","AL",1955,4,66.2,79.3,53.2,7.3
"68","AL",1955,5,73.3,86,60.6,5.6
"69","AL",1955,6,73.3,85.8,60.8,3.1
"70","AL",1955,7,79.8,90.5,69.1,7.1
"71","AL",1955,8,80.3,91.9,68.8,3
"72","AL",1955,9,76.8,89.2,64.4,0.9
"73","AL",1956,1,42.2,53.5,30.9,2.6
"74","AL",1956,10,65,76.9,53,3.7
"75","AL",1956,11,51,64.6,37.5,1.7
"76","AL",1956,12,54.2,66.1,42.3,6.1
"77","AL",1956,2,53.5,64.4,42.7,7.8
"78","AL",1956,3,54.6,67.5,41.6,6.8
"79","AL",1956,4,61.2,74,48.5,4.6
"80","AL",1956,5,73.3,85.6,60.9,2.6
"81","AL",1956,6,76.2,88.2,64.1,4.2
"82","AL",1956,7,79.6,91.4,67.9,5.5
"83","AL",1956,8,80.1,93.1,67.1,2.8
"84","AL",1956,9,72.1,85.7,58.5,4.7
"85","AL",1957,1,48.4,58.8,38.1,4.5
"86","AL",1957,10,59.4,70,48.8,2.3
"87","AL",1957,11,55,65.5,44.6,8
"88","AL",1957,12,47.5,59.4,35.6,3.5
"89","AL",1957,2,56.4,66.9,45.9,3.7
"90","AL",1957,3,52.7,63.7,41.7,4.2
"91","AL",1957,4,65,77.2,52.8,7.1
"92","AL",1957,5,71.8,83.1,60.4,5.1
"93","AL",1957,6,78.2,88.7,67.8,5.8
"94","AL",1957,7,79.7,90.9,68.4,3
"95","AL",1957,8,79.5,92.4,66.6,2.2
"96","AL",1957,9,73.8,83.4,64.2,8.9
"97","AL",1958,1,39.7,50.2,29.2,3.3
"98","AL",1958,10,62.3,75.1,49.4,1.4
"99","AL",1958,11,55.9,68.9,42.9,3
"100","AL",1958,12,42.6,54,31.3,2
"101","AL",1958,2,38.2,49.8,26.6,4.3
"102","AL",1958,3,50.9,61.3,40.6,5.6
"103","AL",1958,4,63.3,75.7,50.9,5.1
"104","AL",1958,5,70.8,83.2,58.5,2.9
"105","AL",1958,6,77.9,89.2,66.6,4.8
"106","AL",1958,7,79,89.2,68.8,8.3
"107","AL",1958,8,78.9,90.5,67.3,3
"108","AL",1958,9,75.1,86.6,63.7,5.1
"109","AL",1959,1,43.1,55.8,30.3,4.5
"110","AL",1959,10,66.2,75.4,57,6.8
"111","AL",1959,11,51.4,64.6,38.1,2.6
"112","AL",1959,12,46.9,57.9,35.8,3.3
"113","AL",1959,2,49.4,59.5,39.2,4.8
"114","AL",1959,3,52.1,64.7,39.5,5.9
"115","AL",1959,4,62.3,74.8,49.8,4.1
"116","AL",1959,5,72.8,85.1,60.5,6.1
"117","AL",1959,6,76.6,87.3,65.9,4.2
"118","AL",1959,7,79.8,91.1,68.5,4.6
"119","AL",1959,8,80.2,92,68.2,3.7
"120","AL",1959,9,74.7,85.1,64.3,5.1
"121","AL",1960,1,44.5,53.6,35.3,5.8
"122","AL",1960,10,65.1,77.6,52.6,3.3
"123","AL",1960,11,53.4,67,39.7,2.1
"124","AL",1960,12,41.8,53.6,30,2.6
"125","AL",1960,2,44.4,55.7,33,4.3
"126","AL",1960,3,45.3,56.3,34.3,6.9
"127","AL",1960,4,64.1,77.6,50.5,3.8
"128","AL",1960,5,67.8,80.9,54.7,3.4
"129","AL",1960,6,77.3,89.5,65.1,2.9
"130","AL",1960,7,81.1,93.4,68.8,4.3
"131","AL",1960,8,79.1,89.6,68.6,5.7
"132","AL",1960,9,74.6,85.2,64,5.3
"133","AL",1961,1,39.2,50.4,27.9,3.3
"134","AL",1961,10,62,77.3,46.8,0.9
"135","AL",1961,11,55.4,67,43.8,4.5
"136","AL",1961,12,47,57.1,37,12.2
"137","AL",1961,2,52,63.5,40.5,12
"138","AL",1961,3,57.4,69.2,45.6,9.1
"139","AL",1961,4,58.9,72.1,45.6,4.9
"140","AL",1961,5,67.7,80.3,55.2,3.2
"141","AL",1961,6,73.9,84.8,63,6.7
"142","AL",1961,7,77.9,89.2,66.7,4.9
"143","AL",1961,8,77.4,88.1,66.7,5
"144","AL",1961,9,74.4,86,62.8,2.7
"145","AL",1962,1,42.6,52.9,32.2,7
"146","AL",1962,10,65.6,78.9,52.2,2.6
"147","AL",1962,11,51.2,63,39.3,4.7
"148","AL",1962,12,42.9,54.4,31.4,2.9
"149","AL",1962,2,55.4,68.4,42.5,4.8
"150","AL",1962,3,50.9,62.3,39.5,5.4
"151","AL",1962,4,60,72.6,47.5,6.1
"152","AL",1962,5,75.3,89.8,60.8,1
"153","AL",1962,6,77,88.6,65.4,4.8
"154","AL",1962,7,80.8,93,68.6,4.2
"155","AL",1962,8,80.3,92.6,67.9,2.7
"156","AL",1962,9,74.6,86.6,62.5,3.3
"157","AL",1963,1,39.1,50.6,27.6,6.2
"158","AL",1963,10,65.7,81.6,49.8,0
"159","AL",1963,11,53.1,66,40.2,4.3
"160","AL",1963,12,37.6,48.8,26.3,4.8
"161","AL",1963,2,41.8,55,28.7,3.2
"162","AL",1963,3,58.3,71.8,44.7,5.1
"163","AL",1963,4,65.8,78.1,53.6,4.1
"164","AL",1963,5,71.7,84.1,59.2,3.2
"165","AL",1963,6,77.1,88.4,65.8,5.9
"166","AL",1963,7,78.1,88.9,67.2,5.9
"167","AL",1963,8,79.3,91.3,67.4,2.7
"168","AL",1963,9,73.1,85.4,60.7,3
"169","AL",1964,1,42.4,53.7,31.2,6.8
