state,year,tmax
Alabama,1950,68.4
Alabama,1950,65.8
Alabama,1950,64.3
Alabama,1950,72.1
Alabama,1950,85.0
Alabama,1950,89.0
Alabama,1950,88.0
Alabama,1950,88.9
Alabama,1950,82.2
Alabama,1950,78.5
Alabama,1950,62.8
Alabama,1950,51.7
Alabama,1951,58.9
Alabama,1951,61.8
Alabama,1951,67.2
Alabama,1951,73.9
Alabama,1951,84.5
Alabama,1951,90.4
Alabama,1951,92.5
Alabama,1951,95.4
Alabama,1951,87.0
Alabama,1951,78.8
Alabama,1951,61.3
Alabama,1951,61.7
Alabama,1952,63.0
Alabama,1952,61.8
Alabama,1952,65.9
Alabama,1952,74.5
Alabama,1952,84.3
Alabama,1952,95.0
Alabama,1952,95.8
Alabama,1952,91.1
Alabama,1952,84.0
Alabama,1952,72.6
Alabama,1952,65.6
Alabama,1952,56.1
Alabama,1953,60.6
Alabama,1953,60.2
Alabama,1953,70.0
Alabama,1953,73.8
Alabama,1953,85.2
Alabama,1953,92.8
Alabama,1953,90.2
Alabama,1953,91.5
Alabama,1953,87.3
Alabama,1953,80.1
Alabama,1953,66.6
Alabama,1953,54.8
Alabama,1954,58.7
Alabama,1954,66.0
Alabama,1954,65.7
Alabama,1954,80.4
Alabama,1954,78.3
Alabama,1954,92.6
Alabama,1954,94.8
Alabama,1954,97.3
Alabama,1954,93.0
Alabama,1954,79.6
Alabama,1954,63.9
Alabama,1954,56.6
Alabama,1955,54.8
Alabama,1955,60.4
Alabama,1955,71.6
Alabama,1955,79.3
Alabama,1955,86.0
Alabama,1955,85.8
Alabama,1955,90.5
Alabama,1955,91.9
Alabama,1955,89.2
Alabama,1955,76.7
Alabama,1955,65.2
Alabama,1955,56.8
Alabama,1956,53.5
Alabama,1956,64.4
Alabama,1956,67.5
Alabama,1956,74.0
Alabama,1956,85.6
Alabama,1956,88.2
Alabama,1956,91.4
Alabama,1956,93.1
Alabama,1956,85.7
Alabama,1956,76.9
Alabama,1956,64.6
Alabama,1956,66.1
Alabama,1957,58.8
Alabama,1957,66.9
Alabama,1957,63.7
Alabama,1957,77.2
Alabama,1957,83.1
Alabama,1957,88.7
Alabama,1957,90.9
Alabama,1957,92.4
Alabama,1957,83.4
Alabama,1957,70.0
Alabama,1957,65.5
Alabama,1957,59.4
Alabama,1958,50.2
Alabama,1958,49.8
Alabama,1958,61.3
Alabama,1958,75.7
Alabama,1958,83.2
Alabama,1958,89.2
Alabama,1958,89.2
Alabama,1958,90.5
Alabama,1958,86.6
Alabama,1958,75.1
Alabama,1958,68.9
Alabama,1958,54.0
Alabama,1959,55.8
Alabama,1959,59.5
Alabama,1959,64.7
Alabama,1959,74.8
Alabama,1959,85.1
Alabama,1959,87.3
Alabama,1959,91.1
Alabama,1959,92.0
Alabama,1959,85.1
Alabama,1959,75.4
Alabama,1959,64.6
Alabama,1959,57.9
Alabama,1960,53.6
Alabama,1960,55.7
Alabama,1960,56.3
Alabama,1960,77.6
Alabama,1960,80.9
Alabama,1960,89.5
Alabama,1960,93.4
Alabama,1960,89.6
Alabama,1960,85.2
Alabama,1960,77.6
Alabama,1960,67.0
Alabama,1960,53.6
Alabama,1961,50.4
Alabama,1961,63.5
Alabama,1961,69.2
Alabama,1961,72.1
Alabama,1961,80.3
Alabama,1961,84.8
Alabama,1961,89.2
Alabama,1961,88.1
Alabama,1961,86.0
Alabama,1961,77.3
Alabama,1961,67.0
Alabama,1961,57.1
Alabama,1962,52.9
Alabama,1962,68.4
Alabama,1962,62.3
Alabama,1962,72.6
Alabama,1962,89.8
Alabama,1962,88.6
Alabama,1962,93.0
Alabama,1962,92.6
Alabama,1962,86.6
Alabama,1962,78.9
Alabama,1962,63.0
Alabama,1962,54.4
Alabama,1963,50.6
Alabama,1963,55.0
Alabama,1963,71.8
Alabama,1963,78.1
Alabama,1963,84.1
Alabama,1963,88.4
Alabama,1963,88.9
Alabama,1963,91.3
Alabama,1963,85.4
Alabama,1963,81.6
Alabama,1963,66.0
Alabama,1963,48.8
Alabama,1964,53.7
Alabama,1964,53.4
Alabama,1964,66.9
Alabama,1964,76.8
Alabama,1964,84.0
Alabama,1964,90.7
Alabama,1964,88.2
Alabama,1964,88.7
Alabama,1964,86.7
Alabama,1964,72.8
Alabama,1964,69.0
Alabama,1964,58.9
Alabama,1965,58.8
Alabama,1965,58.2
Alabama,1965,62.0
Alabama,1965,78.6
Alabama,1965,86.8
Alabama,1965,86.6
Alabama,1965,89.5
Alabama,1965,89.3
Alabama,1965,84.9
Alabama,1965,74.8
Alabama,1965,69.1
Alabama,1965,59.3
Alabama,1966,49.3
Alabama,1966,57.5
Alabama,1966,65.9
Alabama,1966,76.2
Alabama,1966,80.6
Alabama,1966,86.6
Alabama,1966,92.7
Alabama,1966,88.1
Alabama,1966,83.9
Alabama,1966,74.3
Alabama,1966,67.2
Alabama,1966,56.4
Alabama,1967,56.8
Alabama,1967,55.6
Alabama,1967,72.6
Alabama,1967,81.2
Alabama,1967,81.3
Alabama,1967,87.8
Alabama,1967,86.4
Alabama,1967,85.3
Alabama,1967,80.1
Alabama,1967,75.6
Alabama,1967,64.0
Alabama,1967,60.6
Alabama,1968,53.1
Alabama,1968,51.9
Alabama,1968,66.1
Alabama,1968,76.4
Alabama,1968,81.3
Alabama,1968,91.0
Alabama,1968,89.9
Alabama,1968,91.2
Alabama,1968,85.3
Alabama,1968,77.1
Alabama,1968,62.8
Alabama,1968,54.3
Alabama,1969,53.6
Alabama,1969,56.9
Alabama,1969,59.8
Alabama,1969,76.8
Alabama,1969,82.1
Alabama,1969,90.6
Alabama,1969,92.3
Alabama,1969,88.6
Alabama,1969,83.6
Alabama,1969,75.4
Alabama,1969,64.4
Alabama,1969,55.1
Alabama,1970,48.3
Alabama,1970,57.9
Alabama,1970,64.3
Alabama,1970,78.2
Alabama,1970,84.5
Alabama,1970,86.2
Alabama,1970,91.0
Alabama,1970,89.2
Alabama,1970,89.2
Alabama,1970,75.3
Alabama,1970,62.1
Alabama,1970,61.4
Alabama,1971,55.8
Alabama,1971,58.4
Alabama,1971,62.5
Alabama,1971,76.3
Alabama,1971,79.5
Alabama,1971,90.2
Alabama,1971,88.2
Alabama,1971,88.0
Alabama,1971,85.3
Alabama,1971,79.5
