state,year,tmin
Alabama,1950,49.4
Alabama,1950,40.7
Alabama,1950,40.2
Alabama,1950,46.3
Alabama,1950,62.3
Alabama,1950,66.1
Alabama,1950,67.0
Alabama,1950,65.2
Alabama,1950,62.0
Alabama,1950,53.7
Alabama,1950,34.4
Alabama,1950,30.8
Alabama,1951,34.8
Alabama,1951,36.8
Alabama,1951,45.0
Alabama,1951,48.4
Alabama,1951,55.8
Alabama,1951,66.5
Alabama,1951,69.1
Alabama,1951,69.3
Alabama,1951,64.3
Alabama,1951,53.0
Alabama,1951,36.0
Alabama,1951,38.1
Alabama,1952,41.8
Alabama,1952,40.3
Alabama,1952,40.8
Alabama,1952,47.6
Alabama,1952,58.6
Alabama,1952,69.0
Alabama,1952,68.8
Alabama,1952,68.3
Alabama,1952,60.2
Alabama,1952,42.7
Alabama,1952,38.1
Alabama,1952,34.6
Alabama,1953,37.3
Alabama,1953,37.6
Alabama,1953,46.2
Alabama,1953,47.4
Alabama,1953,62.5
Alabama,1953,68.3
Alabama,1953,69.0
Alabama,1953,66.6
Alabama,1953,60.0
Alabama,1953,50.5
Alabama,1953,37.7
Alabama,1953,34.1
Alabama,1954,35.1
Alabama,1954,38.1
Alabama,1954,41.9
Alabama,1954,54.6
Alabama,1954,54.0
Alabama,1954,65.3
Alabama,1954,70.0
Alabama,1954,69.4
Alabama,1954,63.3
Alabama,1954,50.7
Alabama,1954,37.8
Alabama,1954,32.6
Alabama,1955,33.2
Alabama,1955,37.8
Alabama,1955,45.6
Alabama,1955,53.2
Alabama,1955,60.6
Alabama,1955,60.8
Alabama,1955,69.1
Alabama,1955,68.8
Alabama,1955,64.4
Alabama,1955,47.2
Alabama,1955,38.4
Alabama,1955,35.2
Alabama,1956,30.9
Alabama,1956,42.7
Alabama,1956,41.6
Alabama,1956,48.5
Alabama,1956,60.9
Alabama,1956,64.1
Alabama,1956,67.9
Alabama,1956,67.1
Alabama,1956,58.5
Alabama,1956,53.0
Alabama,1956,37.5
Alabama,1956,42.3
Alabama,1957,38.1
Alabama,1957,45.9
Alabama,1957,41.7
Alabama,1957,52.8
Alabama,1957,60.4
Alabama,1957,67.8
Alabama,1957,68.4
Alabama,1957,66.6
Alabama,1957,64.2
Alabama,1957,48.8
Alabama,1957,44.6
Alabama,1957,35.6
Alabama,1958,29.2
Alabama,1958,26.6
Alabama,1958,40.6
Alabama,1958,50.9
Alabama,1958,58.5
Alabama,1958,66.6
Alabama,1958,68.8
Alabama,1958,67.3
Alabama,1958,63.7
Alabama,1958,49.4
Alabama,1958,42.9
Alabama,1958,31.3
Alabama,1959,30.3
Alabama,1959,39.2
Alabama,1959,39.5
Alabama,1959,49.8
Alabama,1959,60.5
Alabama,1959,65.9
Alabama,1959,68.5
Alabama,1959,68.2
Alabama,1959,64.3
Alabama,1959,57.0
Alabama,1959,38.1
Alabama,1959,35.8
Alabama,1960,35.3
Alabama,1960,33.0
Alabama,1960,34.3
Alabama,1960,50.5
Alabama,1960,54.7
Alabama,1960,65.1
Alabama,1960,68.8
Alabama,1960,68.6
Alabama,1960,64.0
Alabama,1960,52.6
Alabama,1960,39.7
Alabama,1960,30.0
Alabama,1961,27.9
Alabama,1961,40.5
Alabama,1961,45.6
Alabama,1961,45.6
Alabama,1961,55.2
Alabama,1961,63.0
Alabama,1961,66.7
Alabama,1961,66.7
Alabama,1961,62.8
Alabama,1961,46.8
Alabama,1961,43.8
Alabama,1961,37.0
Alabama,1962,32.2
Alabama,1962,42.5
Alabama,1962,39.5
Alabama,1962,47.5
Alabama,1962,60.8
Alabama,1962,65.4
Alabama,1962,68.6
Alabama,1962,67.9
Alabama,1962,62.5
Alabama,1962,52.2
Alabama,1962,39.3
Alabama,1962,31.4
