범죄중분류,계,00:00~2:59:,03:00~5:59,06:00~8:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상
살인기수,372,32,38,27,42,44,41,58,56,34
살인미수등,541,50,48,38,51,47,60,77,99,71
강도,1586,249,297,86,92,120,115,142,204,281
강간,5078,586,664,337,279,279,278,336,646,1673
유사강간,375,48,48,27,20,24,29,33,37,109
강제추행,14611,1448,1542,1243,852,962,1352,1743,2588,2881
기타강간 강제추행등,991,106,192,67,60,57,77,70,96,266
방화,1723,224,210,101,130,148,222,212,319,157
절도범죄,266222,21567,21195,17918,29081,30903,34679,40322,35015,35542
상해,50281,6015,4613,2824,3892,3656,4615,6272,10555,7839
폭행,132920,18554,14265,7116,8492,8821,11249,17394,32167,14862
체포 감금,945,43,72,70,121,92,98,105,124,220
협박,5187,268,212,229,612,511,584,649,700,1422
약취 유인,198,6,5,18,23,28,30,27,12,49
폭력행위등,37689,5408,4669,1996,2307,2353,3057,4733,8064,5102
공갈,4862,229,150,94,422,328,526,664,618,1831
손괴,57997,5654,4656,3630,4664,4268,5890,10249,12264,6722
직무유기,577,4,1,5,143,61,26,9,5,323
직권남용,364,10,8,10,85,33,19,15,17,167
증수뢰,251,2,-,4,27,14,11,17,5,171
통화,2770,25,28,83,554,273,246,146,81,1334
문서 인장,14441,162,114,63,2917,1072,546,299,325,8943
유가증권인지,360,3,-,2,71,28,17,9,4,226
사기,238409,5636,3974,2447,40455,22625,15829,10733,9729,126981
횡령,37024,1315,970,969,5864,3128,2676,2687,2793,16622
배임,4456,15,3,6,1107,302,88,46,18,2871
성풍속범죄,16683,572,386,837,1584,1445,1900,1883,1704,6372
도박범죄,8293,237,160,101,594,570,1046,1472,1445,2668
특별경제범죄,72908,2768,2231,2024,10083,6652,6028,5702,7676,29744
마약범죄,4825,121,97,44,312,357,484,548,453,2409
보건범죄,14657,480,268,146,1417,1090,1333,1020,1735,7168
환경범죄,2536,17,26,83,404,277,209,63,57,1400
교통범죄,573493,41939,32441,44610,53045,54231,65612,79167,157320,45128
노동범죄,1308,17,5,13,498,94,61,55,111,454
안보범죄,84,1,2,1,15,5,6,2,10,42
선거범죄,1874,14,15,82,375,191,132,151,69,845
병역범죄,21549,10,1,42,3941,777,88,78,39,16573
기타,180526,10233,7587,5772,24224,13906,14182,14135,23364,67123
