범죄대분류,범죄중분류,계,일,월,화,수,목,금,토
강력범죄,살인기수,365,41,60,58,59,59,39,49
강력범죄,살인미수등,564,94,80,65,101,85,68,71
강력범죄,강도,"1,446",229,223,205,183,205,206,195
강력범죄,강간,"5,151",875,670,691,683,629,699,904
강력범죄,유사강간,518,92,58,67,76,54,66,105
강력범죄,강제추행,"15,059","2,237","2,059","2,040","2,058","2,027","2,229","2,409"
강력범죄,기타 강간 강제추행등,558,93,76,78,81,65,75,90
강력범죄,방화,"1,673",246,268,232,223,226,231,247
절도범죄,절도,"245,853","33,217","34,039","33,443","34,908","33,668","37,363","39,215"
폭력범죄,상해,"48,005","7,187","6,318","6,773","6,668","6,566","6,932","7,561"
폭력범죄,폭행,"149,278","23,780","18,515","20,048","20,088","20,354","21,334","25,159"
폭력범죄,체포 감금,"1,028",126,147,157,165,152,140,141
폭력범죄,협박,"9,187","1,242","1,342","1,376","1,323","1,303","1,371","1,230"
폭력범죄,약취 유인,190,23,33,23,27,30,32,22
폭력범죄,폭력행위등,"35,686","6,158","4,626","4,760","4,788","4,647","4,808","5,899"
폭력범죄,공갈,"3,596",439,532,579,495,546,548,457
폭력범죄,손괴,"58,977","8,864","7,654","7,896","8,169","7,981","8,603","9,810"
지능범죄,직무유기,507,31,99,104,85,69,81,38
지능범죄,직권남용,401,40,81,50,72,71,57,30
지능범죄,증수뢰,247,22,42,44,30,38,49,22
지능범죄,통화,"1,822",80,368,324,331,318,311,90
지능범죄,문서 인장,"14,546",806,"2,823","2,443","2,465","2,480","2,459","1,070"
지능범죄,유가증권인지,282,17,46,49,44,53,47,26
지능범죄,사기,"247,293","18,943","41,581","41,723","40,939","40,262","41,122","22,723"
지능범죄,횡령,"46,734","5,289","6,987","6,852","6,919","6,773","7,470","6,444"
지능범죄,배임,"4,289",289,738,711,747,710,777,317
풍속범죄,성풍속범죄,"16,219","1,832","2,322","2,451","2,487","2,507","2,456","2,164"
풍속범죄,도박범죄,"8,272","1,070","1,141","1,166","1,213","1,170","1,315","1,197"
특별경제범죄,특별경제범죄,"86,329","8,919","13,867","13,765","13,872","13,451","13,090","9,365"
마약범죄,마약범죄,"6,411",729,"1,082","1,003",984,980,901,732
보건범죄,보건범죄,"14,602",983,"2,439","2,607","2,574","2,460","2,189","1,350"
환경범죄,환경범죄,"2,955",205,491,536,556,471,473,223
교통범죄,교통범죄,"596,665","77,266","79,700","84,929","84,795","85,819","92,973","91,183"
노동범죄,노동범죄,"1,145",60,235,208,218,202,155,67
안보범죄,안보범죄,121,11,29,16,17,23,15,10
선거범죄,선거범죄,760,76,133,123,143,107,103,75
병역범죄,병역범죄,"18,726",219,"4,578","4,515","2,744","3,319","3,157",194
기타범죄,기타범죄,"216,197","22,843","32,957","33,861","33,968","33,071","33,180","26,317"
