수법구분,수법분류,발생건수,구성비(%),검거건수,구성비(%)
침입절도,빈집 절도,"11,908",5.9,"5,782",4.9
침입절도,사무실 절도,"2,113",1,"1,337",1.1
침입절도,공장 절도,466,0.2,407,0.3
침입절도,상점 절도,"10,362",5.1,"7,955",6.7
침입절도,숙박업소 절도,798,0.4,461,0.4
침입절도,기타,"22,098",10.9,"14,611",12.3
비침입절도,소매치기 절도,"1,047",0.5,362,0.3
비침입절도,날치기 절도,260,0.1,162,0.1
비침입절도,치기절도-기타,"5,192",2.6,"3,779",3.2
비침입절도,들치기 절도,"19,628",9.7,"11,534",9.7
비침입절도,속임수 절도,"2,149",1.1,"1,720",1.5
비침입절도,기타,"94,970",46.8,"57,011",48.1
기타,차량절도,"3,501",1.7,"2,419",2
기타,오토바이 절도,"6,394",3.1,"3,204",2.7
기타,자전거 절도,"15,170",7.5,"3,787",3.2
기타,축산물 절도,540,0.3,228,0.2
기타,기타,"6,439",3.2,"3,836",3.2
미상,미상,2,0,2,0
